order_id,date,month,quarter,product,category,unit_price,quantity,discount_pct,revenue,city,customer_gender,payment_method
ORD0001,2023-04-25,April,Q2,Smartphone,Electronics,12825.35,3,5,36552.25,Bangalore,Male,Net Banking
ORD0002,2023-02-17,February,Q1,Smartphone,Electronics,31486.25,1,0,31486.25,Hyderabad,Male,Net Banking
ORD0003,2023-08-03,August,Q3,Coffee Beans,Grocery,429.19,2,20,686.7,Hyderabad,Female,Net Banking
ORD0004,2023-12-24,December,Q4,Bookshelf,Furniture,5142.44,1,5,4885.32,Pune,Female,UPI
ORD0005,2023-02-17,February,Q1,Headphones,Electronics,1704.32,3,0,5112.96,Pune,Male,UPI
ORD0006,2023-10-02,October,Q4,T-Shirt,Clothing,842.96,1,15,716.52,Delhi,Female,Credit Card
ORD0007,2023-10-23,October,Q4,Rice 5kg,Grocery,352.61,5,10,1586.75,Hyderabad,Male,Credit Card
ORD0008,2023-02-21,February,Q1,Desk Chair,Furniture,9957.62,1,5,9459.74,Pune,Female,Cash
ORD0009,2023-12-10,December,Q4,T-Shirt,Clothing,445.55,3,5,1269.82,Chennai,Male,Net Banking
ORD0010,2023-08-25,August,Q3,Headphones,Electronics,3043.39,2,5,5782.44,Pune,Female,Net Banking
ORD0011,2023-01-17,January,Q1,Desk Chair,Furniture,9161.53,1,5,8703.45,Kolkata,Female,UPI
ORD0012,2023-04-19,April,Q2,Smartphone,Electronics,18962.43,5,10,85330.93,Ahmedabad,Female,Cash
ORD0013,2023-10-03,October,Q4,Headphones,Electronics,1912.5,2,20,3060.0,Chennai,Female,Net Banking
ORD0014,2023-09-10,September,Q3,Jeans,Clothing,1595.75,2,20,2553.2,Delhi,Male,Credit Card
ORD0015,2023-02-02,February,Q1,Headphones,Electronics,3435.27,4,20,10992.86,Pune,Female,Net Banking
ORD0016,2023-12-15,December,Q4,Running Shoes,Clothing,3881.01,5,0,19405.05,Delhi,Female,UPI
ORD0017,2023-01-02,January,Q1,Smartphone,Electronics,21685.5,2,15,36865.35,Chennai,Male,Net Banking
ORD0018,2023-11-08,November,Q4,Smartphone,Electronics,40727.11,3,20,97745.06,Hyderabad,Male,UPI
ORD0019,2023-11-03,November,Q4,Headphones,Electronics,3065.39,5,0,15326.95,Kolkata,Female,Credit Card
ORD0020,2023-01-30,January,Q1,Smartphone,Electronics,42660.25,3,5,121581.71,Hyderabad,Male,Credit Card
ORD0021,2023-03-07,March,Q1,Running Shoes,Clothing,5172.1,5,5,24567.47,Ahmedabad,Male,UPI
ORD0022,2023-10-04,October,Q4,Rice 5kg,Grocery,555.35,4,5,2110.33,Hyderabad,Female,Cash
ORD0023,2023-03-03,March,Q1,T-Shirt,Clothing,693.73,5,15,2948.35,Hyderabad,Male,Credit Card
ORD0024,2023-10-29,October,Q4,T-Shirt,Clothing,317.95,5,5,1510.26,Hyderabad,Male,Credit Card
ORD0025,2023-02-06,February,Q1,Laptop,Electronics,53012.96,1,10,47711.66,Jaipur,Male,UPI
ORD0026,2023-10-23,October,Q4,Running Shoes,Clothing,2464.07,2,20,3942.51,Ahmedabad,Male,Cash
ORD0027,2023-07-01,July,Q3,Jeans,Clothing,1218.09,1,15,1035.38,Pune,Female,Cash
ORD0028,2023-07-26,July,Q3,Laptop,Electronics,68567.76,1,0,68567.76,Kolkata,Male,Debit Card
ORD0029,2023-08-05,August,Q3,Desk Chair,Furniture,4711.88,4,5,17905.14,Bangalore,Female,Cash
ORD0030,2023-10-09,October,Q4,Desk Chair,Furniture,10870.37,1,15,9239.81,Delhi,Male,Net Banking
ORD0031,2023-07-28,July,Q3,Laptop,Electronics,78914.87,2,5,149938.25,Ahmedabad,Female,Debit Card
ORD0032,2023-01-02,January,Q1,Jeans,Clothing,2785.28,2,15,4734.98,Pune,Female,Cash
ORD0033,2023-03-21,March,Q1,Bookshelf,Furniture,3403.53,5,15,14465.0,Hyderabad,Female,Debit Card
ORD0034,2023-06-10,June,Q2,Laptop,Electronics,65271.31,5,0,326356.55,Mumbai,Male,Net Banking
ORD0035,2023-01-30,January,Q1,Running Shoes,Clothing,3762.83,5,5,17873.44,Jaipur,Male,Debit Card
ORD0036,2023-03-03,March,Q1,Smartphone,Electronics,31636.16,2,15,53781.47,Lucknow,Male,Net Banking
ORD0037,2023-12-03,December,Q4,Coffee Beans,Grocery,443.72,1,15,377.16,Lucknow,Female,UPI
ORD0038,2023-05-16,May,Q2,Desk Chair,Furniture,9027.53,3,5,25728.46,Pune,Male,UPI
ORD0039,2023-08-23,August,Q3,Running Shoes,Clothing,2922.8,1,0,2922.8,Lucknow,Male,Credit Card
ORD0040,2023-06-28,June,Q2,Rice 5kg,Grocery,324.6,3,5,925.11,Delhi,Male,UPI
ORD0041,2023-11-10,November,Q4,Bookshelf,Furniture,2209.86,5,10,9944.37,Jaipur,Male,Net Banking
ORD0042,2023-05-16,May,Q2,Bookshelf,Furniture,5692.9,1,5,5408.25,Delhi,Male,Net Banking
ORD0043,2023-06-25,June,Q2,Headphones,Electronics,1943.86,5,5,9233.33,Hyderabad,Female,Net Banking
